station_name,start_count,end_count,average_lat,average_lng
8 Ave & W 24 St,4290,4318,40.745910728342785,-73.99807110428809
7 Ave & Park Pl,4301,4318,40.6776147,-73.97324283
W 84 St & Columbus Ave,4354,4314,40.78499979000001,-73.97283405999997
Franklin St & Dupont St,4288,4306,40.73564,-73.95866
Riverside Dr & W 72 St,4309,4292,40.78057799010333,-73.98562431335449
Broadway & W 36 St,4411,4272,40.75097711000001,-73.98765428
Amsterdam Ave & W 66 St,4197,4227,40.774667099999995,-73.98470567000001
Hope St & Union Ave,4203,4222,40.71167350999999,-73.95141312000001
Clinton Ave & Myrtle Ave,4218,4213,40.69326100000001,-73.968896
Lexington Ave & E 36 St,4360,4205,40.74757395895481,-73.9788007736206
W 95 St & Broadway,4215,4194,40.793770399999985,-73.97188800000002
Forsyth St & Canal St,4159,4192,40.7158155,-73.99422366
Forsyth St & Broome St,3955,4192,40.71893904000001,-73.99266288
Walker St & Baxter St,4132,4178,40.717410999999984,-73.99957300000003
W Broadway & Spring St,3901,4178,40.724946723594144,-74.00165855884552
King St & Varick St,4161,4170,40.727897014090225,-74.00536268949507
E 77 St & 3 Ave,4121,4157,40.773142359999994,-73.95856157999998
Clark St & Henry St,4159,4155,40.69760126999999,-73.99344558999996
Vernon Blvd & 50 Ave,4151,4155,40.74232744000001,-73.95411749000002
River Ter & Warren St,4180,4153,40.71759894980996,-74.01587963104248
W 44 St & 5 Ave,4134,4147,40.75500254000001,-73.98014437000003
Murray St & West St,4208,4145,40.715030000000006,-74.01246
Eastern Pkwy & Franklin Ave,4438,4144,40.6707767,-73.95768010000003
W 76 St & Columbus Ave,4573,4137,40.780183972423906,-73.97728532552719
Bergen St & Smith St,4082,4137,40.686744299999994,-73.99063167999999
Gansevoort St & Hudson St,4068,4129,40.73937600789778,-74.00520807425661
W 59 St & 10 Ave,4172,4120,40.77051300000001,-73.98803799999999
1 Ave & E 44 St,4240,4119,40.750019859999995,-73.96905301
44 Dr & Jackson Ave,4110,4113,40.74718234,-73.94326350000001
Fulton St & Adams St,4111,4111,40.692418292578466,-73.98949474096298
5 Ave & E 72 St,4063,4103,40.77282817000001,-73.96685275999997
N 5 St & Northside Piers,4097,4098,40.719876,-73.96386499999997
E 51 St & 2 Ave,4102,4094,40.75529300000001,-73.96764099999999
Plaza St East & Flatbush Ave,4350,4073,40.673134000000005,-73.969106
Frederick Douglass Blvd & W 112 St,4043,4061,40.801694,-73.957145
E 59 St & Madison Ave,4050,4058,40.76350532,-73.97109243000001
Division St & Bowery,4009,4041,40.71419300000001,-73.996732
Market St & Henry St,4024,4040,40.7131070230591,-73.99446353316307
E 54 St & 1 Ave,4137,4037,40.756265,-73.96417900000003
Bayard St & Baxter St,3989,4015,40.71602117999999,-73.99974371999998
E 2 St & Ave A,3982,4007,40.72307749068673,-73.98583620786667
Atlantic Ave & Furman St,3974,3996,40.691651830000005,-73.99997859999999
Greene St & Prince St,3759,3977,40.725117344223875,-73.99930492043495
Kenmare St & Elizabeth St,4003,3975,40.72054000000001,-73.99490000000002
E 48 St & 3 Ave,4052,3970,40.7546011026,-73.971878855
E 10 St & Ave A,3808,3964,40.72740794,-73.98142006000002
Jay St & York St,3687,3964,40.70140317257725,-73.98672670125961
S 4 St & Roebling St,3915,3959,40.710708999999994,-73.95972400000001
Dock St & Front St,3942,3947,40.702709000000006,-73.99253
MacDougal St & Washington Sq,3834,3920,40.73226397999998,-73.99852205000002
W 110 St & Amsterdam Ave,3991,3910,40.80269199999999,-73.96295
3 Ave & E 62 St,3880,3904,40.76312584,-73.96526895
W 106 St & Central Park West,3887,3899,40.79818560000001,-73.9605909006
E 6 St & Ave B,3725,3875,40.72453733999999,-73.98185423999999
Broadway & Berry St,3863,3874,40.71036129922582,-73.96530389785767
5 Ave & E 103 St,3823,3872,40.7922553,-73.95249932999998
E 91 St & Park Ave,3834,3851,40.7835016,-73.95532699999998
W 52 St & 6 Ave,3898,3844,40.76132983124814,-73.97982001304626
E 88 St & Park Ave,3803,3838,40.781410700190015,-73.95595908164978
E Houston St & Columbia St,3838,3824,40.71978635452821,-73.97871628403664
E 53 St & 3 Ave,3855,3821,40.75763227739443,-73.96930575370789
W 49 St & 8 Ave,4181,3803,40.76227205,-73.98788205000001
Hudson St & Reade St,3777,3803,40.71625008000001,-74.0091059
Court St & State St,3733,3800,40.69023750000001,-73.99203074
E 11 St & Ave B,3769,3791,40.72746420692392,-73.97950418293476
